Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Anda Bara,1,0,499,24.3,13.8,0.0,0.0,0.0,0.0,45.6,13.5,0,12.0
Mix Bara,0,0,112,1.5,12.6,0.0,0.0,0.0,0.0,8.1,4.0,0,0.0
pakku,0,0,34,0.8,6.0,0.0,0.0,354.0,0.0,0.8,0.0,0,0.8
Alu chop,0,0,215,20.0,1.0,0.36,10.0,30.0,0.0,9.0,1.0,0,1.0
Tareko machha,1,0,160,6.0,20.0,3.6,100.0,50.0,450.0,9.0,5.0,0,0.01
Dhal Bhatt,0,0,350,0.7,3.2,0.001,48.0,2.0,30.0,0.4,0.1,0,0.2
Golmedako Aachar,0,0,4,0.3,0.1,0.636,1.0,7.9,11.3,0.3,0.1,0,0.1
chamsur ko sagg,0,0,90,0.0,3.0,0.72,20.0,690.0,500.0,20.0,3.0,0,4.0
palungo,0,0,20,0.0,2.0,2.7,80.0,65.0,470.0,3.0,2.0,0,0.0
lattee ko sagg,0,0,110,4.0,8.0,0.0,0.0,0.0,0.0,10.6,0.0,0,0.0
Buff Bhutun,1,0,141,6.7,5.0,0.0,0.0,170.1,0.0,15.2,0.0,0,0.6
Keema Noodles,0,1,190,7.0,4.0,1.44,20.0,790.0,0.0,26.0,1.0,0,1.0
kodo ko roti,0,0,325,1.0,7.0,0.0,0.0,5.0,0.0,72.0,12.0,0,0.0
fapher ko roti,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0,9.0
peda,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0,9.0
kafal,0,0,100,0.2,0.0,0.018,10.0,4.0,120.0,11.3,1.1,0,7.0
Gwaramari,0,0,190,0.5,7.0,0.27,60.0,450.0,0.0,39.0,1.0,0,0.0
Gulab jamun,0,0,143,7.5,2.2,0.36,90.0,40.0,105.0,17.0,0.0,0,16.0
wai wai noodles,0,1,270,9.0,7.0,0.72,20.0,930.0,0.0,41.0,2.0,0,2.0
chana masala,0,0,565,10.4,18.5,3.51,84.0,300.0,311.0,92.0,7.3,0,0.1
chini ko laddhu,0,0,5,0.3,0.1,0.018,0.0,0.3,3.8,0.6,0.0,0,0.3
Hide and Sick,0,0,750,27.0,9.0,2.7,0.0,165.0,0.0,120.0,0.0,0,63.0
Donuts,0,0,310,18.0,4.0,1.44,60.0,350.0,0.0,32.0,1.0,0,11.0
